iter	Passed	Remaining
586	1529	1076
587	1531	1073
588	1534	1070
589	1536	1067
590	1539	1065
591	1541	1062
592	1543	1059
593	1546	1056
594	1548	1054
595	1550	1050
596	1552	1048
597	1555	1045
598	1557	1042
599	1560	1040
600	1562	1037
601	1564	1034
602	1566	1031
603	1569	1028
604	1571	1026
605	1573	1023
606	1576	1020
607	1578	1017
608	1580	1014
609	1583	1012
610	1585	1009
611	1587	1006
612	1590	1003
613	1592	1001
614	1594	998
615	1596	995
616	1599	992
617	1601	990
618	1604	987
619	1607	984
620	1609	982
621	1612	979
622	1614	977
623	1616	974
624	1620	972
625	1622	969
626	1625	966
627	1627	963
628	1630	961
629	1632	958
630	1636	956
631	1638	954
632	1641	951
633	1643	948
634	1645	946
635	1647	943
636	1650	940
637	1653	937
638	1655	935
639	1657	932
640	1660	930
641	1662	927
642	1665	924
643	1668	922
644	1671	919
645	1673	917
646	1675	914
647	1678	911
648	1680	908
649	1682	905
650	1685	903
651	1687	900
652	1690	898
653	1692	895
654	1694	892
655	1696	889
656	1699	887
657	1701	884
658	1704	881
659	1707	879
660	1710	877
661	1713	875
662	1717	872
663	1720	870
664	1723	867
665	1725	865
666	1727	862
667	1729	859
668	1731	856
669	1735	854
670	1737	851
671	1740	849
672	1742	846
673	1745	844
674	1747	841
675	1750	839
676	1753	836
677	1755	833
678	1758	831
679	1760	828
680	1770	829
681	1773	827
682	1777	824
683	1780	822
684	1783	820
685	1786	817
686	1788	815
687	1792	812
688	1795	810
689	1797	807
690	1800	805
691	1802	802
692	1805	799
693	1807	796
694	1810	794
695	1812	791
696	1815	789
697	1818	786
698	1820	784
699	1822	781
700	1825	778
701	1827	775
702	1830	773
703	1833	770
704	1835	768
705	1838	765
706	1840	762
707	1842	759
708	1844	757
709	1846	754
710	1849	751
711	1852	749
712	1854	746
713	1857	743
714	1859	741
715	1861	738
716	1864	736
717	1867	733
718	1869	730
719	1872	728
720	1874	725
721	1876	722
722	1879	719
723	1882	717
724	1884	714
725	1886	712
726	1889	709
727	1891	706
728	1893	703
729	1895	701
730	1898	698
731	1901	696
732	1903	693
733	1905	690
734	1908	687
735	1910	685
736	1912	682
737	1915	679
738	1917	677
739	1920	674
740	1922	672
741	1924	669
742	1927	666
743	1930	664
744	1933	661
745	1936	659
746	1938	656
747	1941	654
748	1943	651
749	1947	649
750	1949	646
751	1952	643
752	1954	641
753	1957	638
754	1959	635
755	1963	633
756	1965	631
757	1968	628
758	1970	625
759	1974	623
760	1976	620
761	1979	618
762	1981	615
763	1983	612
764	1986	610
765	1988	607
766	1991	604
767	1993	602
768	1997	600
769	2000	597
770	2004	595
771	2006	592
772	2008	589
773	2010	587
774	2013	584
775	2015	581
776	2017	579
777	2020	576
778	2023	574
779	2026	571
780	2029	569
781	2032	566
782	2034	563
783	2037	561
784	2039	558
785	2041	555
786	2044	553
787	2047	550
788	2049	548
789	2051	545
790	2053	542
791	2056	540
792	2058	537
793	2062	535
794	2064	532
795	2067	529
796	2069	527
797	2071	524
798	2073	521
799	2075	518
800	2078	516
801	2081	513
802	2083	511
803	2085	508
